 ,Area,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
696,0.840,4.252,10.420,27.726,1.489,1.116,1.554,0.688,28.756,0.584,1.664,112,309,26.565,0.937,2.260,0.442,0.755
697,0.441,2.509,22.888,29.773,0.837,0.744,0.902,0.624,28.327,0.881,1.006,246,327,33.690,0.723,1.446,0.692,0.879
698,0.909,3.462,79.084,30.052,1.116,1.023,1.176,0.984,15.682,0.953,1.293,850,332,30.256,1.023,1.195,0.837,0.921
699,0.035,0.526,23.446,30.610,0.186,0.186,0.210,0.210,0.000,1.000,0.263,252,329,135.000,0.186,1.000,1.000,1.000
700,0.788,3.803,69.408,31.354,1.303,1.116,1.462,0.686,41.616,0.685,1.548,746,348,32.735,0.855,2.131,0.469,0.798
701,0.467,2.695,22.050,32.657,1.023,0.651,1.014,0.587,10.999,0.809,1.089,237,356,19.983,0.645,1.727,0.579,0.857
702,0.277,2.028,7.629,33.774,0.651,0.744,0.781,0.451,61.256,0.846,0.832,84,371,63.435,0.526,1.731,0.578,0.821
703,0.995,6.671,88.481,34.890,2.977,0.744,2.559,0.495,6.063,0.281,3.013,951,380,8.881,0.691,5.168,0.193,0.655
704,0.814,3.771,84.759,43.450,1.116,1.396,1.437,0.721,58.711,0.719,1.444,914,482,75.069,0.819,1.993,0.502,0.839
705,0.190,1.502,53.498,44.380,0.558,0.465,0.574,0.422,148.799,1.000,0.624,575,478,153.435,0.461,1.361,0.735,0.880
706,0.095,1.239,26.516,45.497,0.372,0.465,0.477,0.254,52.628,0.780,0.543,286,494,59.036,0.329,1.877,0.533,0.759
707,1.532,5.863,54.335,50.335,1.489,2.047,2.021,0.965,68.488,0.560,2.212,585,563,67.751,1.209,2.093,0.478,0.747
708,0.390,2.564,4.001,51.637,0.930,0.651,1.056,0.470,25.718,0.745,1.136,43,562,34.992,0.553,2.249,0.445,0.857
709,0.563,3.113,22.237,52.288,1.023,1.023,1.276,0.562,43.270,0.730,1.322,239,572,39.289,0.724,2.271,0.440,0.812
710,0.035,0.526,17.212,53.219,0.186,0.186,0.210,0.210,0.000,1.000,0.263,185,572,135.000,0.186,1.000,1.000,1.000
711,0.416,2.432,2.605,55.080,0.558,0.930,0.916,0.577,96.940,0.883,0.971,30,592,106.699,0.558,1.588,0.630,0.923
712,0.156,1.425,67.919,58.150,0.465,0.465,0.482,0.412,60.051,0.965,0.543,730,629,30.964,0.465,1.172,0.854,0.837
713,0.182,1.611,78.526,59.453,0.558,0.465,0.611,0.379,28.637,0.880,0.671,844,644,33.690,0.441,1.610,0.621,0.840
714,0.459,3.068,43.357,61.220,0.837,0.930,0.878,0.665,79.166,0.613,1.136,466,668,55.008,0.812,1.319,0.758,0.741
715,0.052,0.844,35.634,63.453,0.372,0.186,0.371,0.178,18.435,0.916,0.416,383,684,26.565,0.186,2.082,0.480,0.857
